date,total_for_foreign,total_cash,grand_total,exchange_rate,url
تـاريخ البيع - ليوم الأربعاء 2018/9/19 والمنفذ يوم الثلاثاء 2018/9/18  ,"190,058,455","35,900,000 
"," 225,958,455",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/394
تـاريخ البيع - ليوم الخميس 2018/9/20 والمنفذ يوم الأربعاء 2018/9/19  ,"166,793,767","31,800,000 
"," 198,593,767",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/395
تـاريخ البيع - ليوم الأحد 2018/9/23 والمنفذ يوم الأحد 2018/9/23  ,"175,348,374","32,900,000 
", ,سعر بيع المبالغ المحولة لحسابات المصارف في الخارج (1190) دينار لكل دولار.,https://cbi.iq/currency_auction/view/396
تـاريخ البيع - ليوم الأثنين 2018/9/24 والمنفذ يوم الأحد 2018/9/23  ,"174,865,770","38,200,000 
"," 213,065,770",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/397
تـاريخ البيع - ليوم الثلاثاء 2018/9/25 والمنفذ يوم الأثنين 2018/9/24  ,"167,674,850"," 34,450,000 
"," 202,124,850",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/398
تـاريخ البيع - ليوم الأربعاء 2018/9/26 والمنفذ يوم الثلاثاء 2018/9/25  ,"138,577,250","33,650,000
","172,227,250",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/399
تـاريخ البيع - ليوم الخميس 2018/9/27 والمنفذ يوم الأربعاء 2018/9/26  ,"94,692,035","28,300,000
","122,992,035",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/400
تـاريخ البيع - ليوم الاحد 2018/9/30 والمنفذ يوم الخميس 2018/9/27  ,"160,179,318","29,950,000
","190,129,318",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/401
تـاريخ البيع - ليوم الاثنين 2018/10/1 والمنفذ يوم الأحد 2018/9/30  ,"126,238,475","37,050,000
","163,288,475",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/402
تـاريخ البيع - ليوم الثلاثاء 2018/10/2 والمنفذ يوم الأثنين 2018/10/1  ,"138,830,343","34,050,000
","172,880,343",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/403
تـاريخ البيع - ليوم الأربعاء 2018/10/3 والمنفذ يوم الثلاثاء 2018/10/2  ,"151,530,346","33,950,000
","185,480,346",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/404
تـاريخ البيع - ليوم الخميس 2018/10/4 والمنفذ يوم الأربعاء 2018/10/3  ,"155,554,621","32,800,000
","188,354,621",سعر البيع النقدي (1190) دينارلكل دولار.,https://cbi.iq/currency_auction/view/405
